O*NET-SOC Code,Title,oral_comprehension,oral_expression,fluency_of_ideas,originality,problem_sensitivity,deductive_reasoning,information_ordering,mathematical_reasoning,perceptual_speed,visualization,selective_attention,time_sharing,arm_hand_steadiness,finger_dexterity,multilimb_coordination,response_orientation,rate_control,reaction_time,wrist_finger_speed,speed_of_limb_movement,stamina,extent_flexibility,dynamic_flexibility,sound_localization,speech_clarity,label_ML,probability_ML
53-2021.00,Air Traffic Controllers,4.62,4.75,3.75,3.5,4.62,4.38,4.12,3.12,4.38,4.5,4.88,5.62,2.38,3,0.38,0.88,0.62,1,0.12,0,0,0.12,0,0.88,4,NA,
53-1041.00,Aircraft Cargo Handling Supervisors,3.88,3.88,3,3,3.5,3.12,3.12,2.88,3.12,3.62,3.5,3.12,2.62,2.75,3,2.62,2.5,3,2,2,2.5,3.12,0.88,1.75,3.25,NA,
49-3011.00,Aircraft Mechanics and Service Technicians,3.88,3.75,3,2.88,4,3.88,4,2.75,3.62,4,3.12,2.88,3.75,4.12,3.88,3,2.88,3.25,2.12,2.12,2.25,3.38,0.38,2,3,NA,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3.75,3.12,2.88,2.5,3.38,3.25,3.62,2.12,3,3.88,3.38,2.5,3.12,3.88,3.12,2.38,1.88,2.75,2.12,1.62,2,3.5,0.25,1.88,2.88,NA,
53-2022.00,Airfield Operations Specialists,4,4,3,3,4.25,4,3.75,2.38,3.12,3,3.38,3,2,2.12,2.12,2.12,1,2,1,0.62,0.88,1.25,0,1.5,3,NA,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",4.75,4.38,3.12,3,5,4.38,4.12,3.12,4.25,4,4.12,4.25,3.75,3.12,4.25,5.62,5,5,2.75,2.75,0.62,2.5,0,2.88,3.88,NA,
29-1229.01,Allergists and Immunologists,5,4.38,3.88,3.75,5.25,4.75,3.75,3.5,3.25,2.88,3.12,3,1.5,2.25,0.5,0.12,0,0,0.62,0,0.38,0.62,0,0,3.75,NA,
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",4,4,2.75,2.38,3.75,3.62,3,1.38,3.12,2.88,3,3.12,3,3,3.12,3.12,3,3.62,0.62,2.75,2.25,3,0,1.12,2.88,NA,
39-3091.00,Amusement and Recreation Attendants,3,3.62,2,2,3,2.5,2.38,1.38,2.12,2,2.25,2.12,2.25,2,2,1.5,0.88,1,1.25,0.38,1.75,2,0,0.12,3,NA,
29-1071.01,Anesthesiologist Assistants,4.12,3.88,2.88,2.62,4.12,3.88,3.75,3,3.62,3,3.62,3,3.5,3.25,2.88,2.88,2,2.62,2.12,1.75,1.88,2.62,0.25,0,3.62,NA,
29-1211.00,Anesthesiologists,4.88,5,3.25,3,5.5,4.75,4.12,3.12,3.88,2.38,3.88,3.12,3.88,3.75,2.62,2.88,1.62,2,2.12,0.38,1.38,1.88,0,0,4,NA,
45-2021.00,Animal Breeders,3.12,3,1.75,1.88,3,3.12,3,2,2.62,2.5,2.25,1.75,3,3.12,3,2,1.62,1.62,0.88,1.88,2.12,2.5,0.12,1,2.88,NA,
39-2021.00,Animal Caretakers,3.25,3.25,1.75,1.88,3.25,3,2.75,1.5,2.12,2,2.38,2.12,2.75,2.38,2.12,0.75,0,0.62,0.5,1.38,2.25,3,0.38,0.75,2.88,NA,
33-9011.00,Animal Control Workers,3.88,3.88,2.88,2.62,3.88,3.38,2.88,1.5,2,2.12,2.75,3,2.88,2.5,2.75,2.38,2,2.25,0.75,1.38,1.88,2.75,0.38,2,3,NA,
19-1011.00,Animal Scientists,5,4.75,3.88,3.88,4.38,4.38,4,3.38,2.88,3,3,2.75,1.25,1,2,1,0.5,0.88,1.12,0,0.5,0.38,0,0.38,4,NA,
39-2011.00,Animal Trainers,3.88,4,3.12,3.25,4,3.5,3,1.75,2.38,2.5,2.88,2.88,2.75,2.75,3,2.5,1.75,2.38,1.62,2.25,2.75,3.12,0.25,1.75,3,NA,
19-3091.00,Anthropologists and Archeologists,5.12,5,4,3.38,3.5,4.62,3.88,2.88,2.75,3.5,2.88,2.88,2.5,2.5,1.38,0.25,0,0.12,2,0.12,1.5,2.5,0.25,0.12,4.12,NA,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,5.12,3.75,3.88,3.75,4.12,3.88,3,2.38,2.12,3,2.88,0.62,1,0.12,0.25,0,0,0.75,0,0,0,0,0,4.88,NA,
13-2023.00,Appraisers and Assessors of Real Estate,3.94,4.06,2.94,2.75,3.25,4.06,3.56,3.31,2.5,2.62,2.81,2.62,1.81,1.94,1.38,1,0.62,0.94,0.12,0.25,0.56,0.63,0,0.44,3.31,NA,
23-1022.00,"Arbitrators, Mediators, and Conciliators",5.12,5.12,3.5,3.25,3.88,4.25,3.25,2,2.12,2,2.88,2,0,0.88,0,0,0,0,0.38,0,0,0,0,0,4.12,NA,
17-1011.00,"Architects, Except Landscape and Naval",4.88,4.88,4.38,4.25,4.62,5,4,3.88,3.12,4.75,3.12,2.75,1.88,2.38,1.12,0,0,0,0.62,0,0,0,0,0,3.62,NA,
17-3011.00,Architectural and Civil Drafters,4,3.94,3,3.19,3.56,3.56,3.88,3.38,2.75,4.12,3,2.19,2.44,2.56,0.69,0,0,0,0.44,0,0,0.06,0,0,3.12,NA,
11-9041.00,Architectural and Engineering Managers,4.75,4.75,4.12,4,4.12,4.25,3.88,4.12,3,4.25,3.25,2.62,1.75,2.25,0.75,0,0,0,0.5,0,0,0,0,0,4,NA,
25-1031.00,"Architecture Teachers, Postsecondary",5.12,5.25,3.88,4.12,4.12,4.12,4.12,3.25,2.12,4.12,2.75,2.5,0.75,1.5,0,0,0.12,0.25,0.62,0,0,0,0,0,5.12,NA,
25-4011.00,Archivists,4.12,3.88,3.38,3,3.12,3.75,4,2,2.12,2.25,2.88,2.12,1.88,2,1.5,0,0,0,0.25,0,0.88,1.38,0,0,3.12,NA,
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.88,5,3.62,3.75,3.25,3.75,3.12,2.25,2.12,2.12,2.75,2.62,0,0.75,0,0,0,0,0,0,0,0,0,0,4.62,NA,
27-1011.00,Art Directors,4,4,4.25,4.38,3.75,4,3.88,3.12,2.88,3.88,2.75,2.38,2.12,2,0,0,0.12,0.25,0.75,0,0,0,0,0,3.62,NA,
29-1129.01,Art Therapists,4.38,4.25,4,3.88,4,4,3.5,2.12,2.25,3,3,2.12,2.88,3,1.25,1.12,0,1,0.75,0.12,1.25,0.62,0,0,3.88,NA,
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,5,4,4,3.12,3.88,3.62,2,2.12,3,2.75,2.38,2.12,2.12,1,0.25,0.25,0.5,0.62,0.12,0.25,0.38,0.12,0,4.62,NA,
19-2011.00,Astronomers,5.12,5.12,4.25,3.88,3.88,4.88,4.12,4.88,3.12,3.25,3.25,2.62,0.62,1.88,0,0,0,0,0.12,0,0,0.5,0,0,4,NA,
27-2021.00,Athletes and Sports Competitors,3.88,3.88,3,3,3,3,3,1.5,2.88,2.88,3.12,2.88,3.12,3,3.25,2.62,2,2.38,1.38,2.62,4,3.75,2.25,0.75,3.12,0,
29-9091.00,Athletic Trainers,4,4,3.38,3.12,4.75,4.12,3.88,2,3,3.5,3.12,2.5,2.88,3,3,0.88,0.38,0.38,1.25,1.5,2.88,2.75,1,0,3.75,NA,
19-2021.00,Atmospheric and Space Scientists,5,4.88,3.38,3,4.12,4.38,3.75,3.75,3,2.75,3.12,2.75,0.75,1.25,0,0,0,0,0.25,0,0,0,0,0,4.12,NA,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5.12,5.25,3.88,3.88,4.12,4.25,4,4,2.12,2.25,2.75,2.12,0.12,0.88,0.25,0,0,0,0.5,0,0,0,0,0,5.12,NA,
27-4011.00,Audio and Video Technicians,4,3.88,2.88,2.88,3.75,3.38,3.88,2.25,3.12,3.5,3.12,2.88,3.12,3.12,2.12,1.5,1.88,2,2,0,1.38,1.88,0,0.88,3,NA,
29-1181.00,Audiologists,5,4.75,3.25,3,5.12,4.62,4,3,3.12,2.75,2.88,2.5,3,3.88,2,1.75,0.88,0.75,1.12,0,0,0.62,0,0.62,4,NA,
49-2097.00,Audiovisual Equipment Installers and Repairers,3.38,3.25,2.75,2.88,3,3,3.25,2.12,3,3.75,2.62,2.25,3,3.75,2.62,2,1.5,1.75,1.5,1.38,2,2.88,0,2.12,2.75,NA,
53-6031.00,Automotive and Watercraft Service Attendants,3.12,3.88,1.88,1.88,2.5,2.5,2.75,1.75,2.38,3,2.75,2.38,3,3.12,3.12,2.62,1.62,2.75,2.25,1.75,3,3.38,0,1.88,2.88,NA,
49-3021.00,Automotive Body and Related Repairers,3.5,3.12,2.75,2.38,3.12,3,3.12,2,2.88,3.88,3,2.25,3.25,3.25,3,2.38,2,2.75,2.38,2.25,2.38,3.88,1,1.62,2.88,NA,
17-3027.01,Automotive Engineering Technicians,4,3.75,3.5,3.25,3.75,3.75,3.5,3,3.25,3.25,3.25,2.75,3,3.12,3,2.62,2,2.62,2.25,0,1.25,2.62,0,1.88,3.12,NA,
17-2141.02,Automotive Engineers,4.75,4.38,4,4.62,4.25,4.88,4.5,4.75,2.88,4.12,3,2.62,1.62,1.75,1.62,1.62,1.12,1.62,0.62,0.5,0,0,0,1.5,3.12,NA,
49-3022.00,Automotive Glass Installers and Repairers,2.88,2.88,1.88,2,2.75,2.88,2.88,1.5,2.12,3,2.75,2.38,3,3,2.88,2,1.75,2.12,2,2,2,3,0.38,1.25,2.62,NA,
49-3023.00,Automotive Service Technicians and Mechanics,3.62,3.5,2.75,2.75,3.5,3.75,3.5,2,3.38,3.62,2.88,2.75,3.5,3.88,3.25,2.75,2.12,2.75,2.62,0.62,2.12,4,1.12,2.5,2.62,NA,
53-6051.01,Aviation Inspectors,4,4,2.88,2.88,4.38,4,3.62,2.5,3.38,3.25,3.12,3,3,3,2.88,2.5,2,2.5,1.5,0.88,1.75,2.38,0,2,3.12,NA,
49-2091.00,Avionics Technicians,4.12,3.88,3,2.75,3.88,3.88,3.88,2.25,2.88,3.88,3.25,2.62,3.12,3.75,3,1.38,1.5,1.88,1.62,0,1.38,2.38,0,0.88,2.88,NA,
39-6011.00,Baggage Porters and Bellhops,3.12,3.62,2.12,2,2.75,2.25,2.5,1.62,2.38,2.12,2.88,2.88,2.25,2.25,2.75,2,1.5,1.75,1.12,1.25,2.88,2.88,0.25,1.38,3,NA,
33-3011.00,Bailiffs,3.25,3.25,1.62,1.38,3.88,3,2.88,0.5,2.25,1.38,3.12,2.5,1.5,1.38,2.12,2.5,0.75,2.88,0.38,2,2.25,2.12,0,0.75,3.12,NA,
51-3011.00,Bakers,3.62,3.12,2.75,2.62,2.75,2.88,3,1.62,3,3,3,2.38,2.88,3,2.5,1.12,1.12,1.25,1.75,1.5,1.5,1.88,0.5,0,2.5,NA,
39-5011.00,Barbers,3.38,3.38,2.25,2.62,2.88,2.88,2.38,0.88,1.38,3,3,2.25,3.5,3.12,2.38,0.25,0.38,0.5,2,0,1.12,1.38,0.12,0,2.62,NA,
35-3023.01,Baristas,3.25,3.5,2.38,2.12,2.75,2.62,2.75,1.88,2.5,2.38,2.5,2.5,2.88,3.12,2.62,0.75,1.75,2.5,2,0.75,2,2.88,0.25,0.38,3.12,NA,
35-3011.00,Bartenders,3.75,3.75,2.88,2.75,3.25,3,3,2.12,2.62,2.62,3,2.88,3,3,2.88,1.38,1.38,1.38,1.75,1.5,2.12,2.88,0,0.25,3,NA,
49-3091.00,Bicycle Repairers,3.5,3.38,2.75,2.5,3,2.88,3.12,1.75,2.25,3.75,2.88,2.12,3.12,3.75,2.62,1,1.38,1.75,2,1.38,1.75,2.75,0.38,0.5,3,NA,
43-3011.00,Bill and Account Collectors,3.88,3.88,2.75,2.62,3,2.88,2.88,2.62,2.62,2,3,2.12,0.75,1.75,0,0,0,0,0.38,0,0,0,0,0,3,NA,
43-3021.00,Billing and Posting Clerks,3.5,3.75,2,1.75,3.12,3.38,3.25,2.75,2.5,1.5,2.5,2,1.38,1.5,0,0.25,0,0,2.25,0,0,0,0,0.12,3,NA,
19-1021.00,Biochemists and Biophysicists,5.88,5.5,4.75,4.62,4.62,5,4.25,4.75,3.12,3.38,3,2,2.88,2.75,1.12,0.62,0.62,0.75,1.75,0,0,0.62,0,0,5,NA,
17-2031.00,Bioengineers and Biomedical Engineers,5,4.88,4.12,4.75,4.75,4.75,4,4.38,3.25,3.75,3.25,2.12,2.38,2.88,0.88,0.5,0.38,0.75,1.25,0,0,0.88,0,0,3.25,NA,
51-8099.01,Biofuels Processing Technicians,3.62,3.62,2.88,2.75,3.38,3.12,3.38,2.88,3.75,3.12,3.62,2.88,3.25,3.25,3.38,2.62,3.25,3.38,2.25,0,2.38,2.88,0.75,2.25,3.12,NA,
11-3051.03,Biofuels Production Managers,4.5,4.12,3.25,3.5,3.75,3.88,3.75,3.38,3.62,3,3.62,3,2.62,1.88,1.88,0.88,2.38,3.12,2.12,0.25,1.62,1.5,0,0,3.88,NA,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.25,4.25,3.88,4.12,4,4.38,3.88,3.75,3.38,3.25,3.38,3,2.75,3,1.88,1.25,1.12,1.25,1,0,1.25,1.12,0,0,3.62,NA,
19-1029.01,Bioinformatics Scientists,4.75,4.75,4.12,4.25,4.62,4.75,4.25,4.38,3.5,3.5,3.62,2.62,1.25,2.75,0,0,0,0,0,0,0,0,0,0,4,NA,
15-2099.01,Bioinformatics Technicians,4.38,4.38,3.5,3.25,3.88,3.75,3.62,4.12,3.25,3.12,3.25,2.75,0,2.25,0,0,0,0,0.38,0,0,0,0,0,3.25,NA,
25-1042.00,"Biological Science Teachers, Postsecondary",5.12,5.5,3.62,3.75,3.62,4.12,4,3.12,2.25,2.12,2.75,2.25,1.12,1.5,0,0,0,0,0.12,0,0,0,0,0,4.88,NA,
19-4021.00,Biological Technicians,4.62,4,3.25,3.12,4,4,3.88,3.5,3.12,3.12,3.5,2.12,3,3,2.5,1.75,0.75,1.62,2.12,0.12,1.12,1.38,0,0.12,3.12,NA,
19-1029.04,Biologists,5.12,5.25,3.88,3.88,4.25,4.88,4.12,4.12,2.75,3.25,2.88,2.38,2.62,2.62,1.88,0.5,0.75,0.62,0.75,0,1,1,0,0.5,3.88,NA,
51-8013.03,Biomass Plant Technicians,3.62,3,2,2.12,3.25,3.12,3.38,2.12,3.75,3,3.38,2.88,3,3,3.38,2.75,3.12,3.38,2.62,2,2,2.38,0,1.75,3,NA,
11-3051.04,Biomass Power Plant Managers,4.12,4.12,3.25,3.12,4.62,4.25,3.88,3.12,3.38,3.12,3.12,2.62,2.75,2.62,2.12,1.25,1.88,2.25,0.5,0.12,1.38,1.62,0.12,0.5,3.75,NA,
15-2041.01,Biostatisticians,5.12,5.12,4,3.88,4,4.88,4.25,5,2.88,3.12,2.88,1.75,0.5,1.62,0,0,0,0,0.5,0,0,0,0,0,4.12,NA,
47-2011.00,Boilermakers,3.38,3.12,2.75,2.38,3.38,3.25,3,2.12,3,3.25,2.75,2.75,3.12,3.38,3.25,2.88,2.88,3.25,2.25,1.5,2.12,3.25,0.62,1.75,3,NA,
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",4,3.75,2,1.75,3,3.12,3.12,3.88,2.88,1.75,2.88,2,1.75,2.38,0,0,0,0,0.88,0,0,0,0,0,3.25,NA,
47-2021.00,Brickmasons and Blockmasons,3.12,3,2.12,2.12,3,2.75,3.12,2.25,2.38,3.88,3,2.75,3.12,3,3.25,1.88,2,2.88,2,1.75,2.88,3.88,1.38,1.12,2.38,NA,
53-6011.00,Bridge and Lock Tenders,3.12,3,2.12,2.12,2.88,2.88,3,1.88,2.88,2,3.12,2.88,2.75,2.62,3,2.62,2.62,3.12,2,1.88,1.75,2,0,2.12,3.12,NA,
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,4,4.12,3.25,3.62,3.38,3.75,3.25,1,2.12,1.62,3,3.12,1.62,1.75,1,1,1.5,1.5,0.75,0,0,0.88,0,0.88,4.5,NA,
27-4012.00,Broadcast Technicians,4,4,3,3,3.75,3.62,3.12,2.12,3.25,3.12,3.88,2.5,2.75,3,2.62,2,1.88,2.62,1.38,0,1.12,1.38,0,0.75,3,NA,
43-4011.00,Brokerage Clerks,3.88,4,2.38,2.38,3.12,3.75,3,3,2.62,2,3,2.75,1.62,2.62,0,0,0,0,0.38,0,0,0,0,0,3.5,1,
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.38,4.38,4,3.62,4.88,4.62,4,3.88,3,3.38,2.62,2.25,0,1.75,0.38,0.12,0,0,0.75,0,0,0,0,0,3.75,NA,
13-2031.00,Budget Analysts,4,4,3,2.88,3.88,3.88,3.75,4.12,2.75,1.88,3,2,0,1.12,0,0,0,0,0.12,0,0.25,0,0,0,3.25,NA,
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,3.75,3.12,2.88,2.75,3.25,3.38,3.38,1.75,3,3.75,3,3,3.25,3.62,3.5,2.75,2.25,3,2.25,1.75,2.75,3.88,0.38,2.62,3,NA,
53-3052.00,"Bus Drivers, Transit and Intercity",2.88,3,1.62,1.75,3,2.25,2.62,1.12,2.88,2.25,3.25,3.25,2.88,2.12,3.5,3.88,3.25,3.75,1.12,1.5,0.88,2,0.12,2.12,2.88,1,
13-1199.04,Business Continuity Planners,4,4,4,3.88,4.62,4.5,3.88,3.12,2.88,3.25,2.88,2.38,0,1,0,0,0,0,0.38,0,0,0,0,0,3.88,NA,
15-2051.01,Business Intelligence Analysts,4.62,4.62,3.75,3.25,3.62,4.62,4,3.75,2.75,1.88,2.88,1.75,0,1.12,0,0,0,0,0.5,0,0,0,0,0,3.62,NA,
25-1011.00,"Business Teachers, Postsecondary",5,5.25,3.12,3.38,3.25,4.25,3.62,3.62,2.25,2.12,2.88,2,0,1,0,0,0,0,0.75,0,0,0,0,0,5.12,NA,
51-3021.00,Butchers and Meat Cutters,3,3.12,2.25,2,2.88,2.88,3,2.12,2.38,2.75,2.5,2.38,3.12,3.12,3,2.12,2.12,2.38,2.25,1.5,1.88,2.25,0.5,0.5,3,NA,
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4,4,3,3,3.12,3.38,3.12,3.38,2.25,2.12,2.88,2.5,1.5,2,1.38,0.12,0,0,0,0,1.12,0.5,0,0,3.25,NA,
51-7011.00,Cabinetmakers and Bench Carpenters,3.38,3.12,2.75,2.75,2.88,2.88,3.38,2.25,2.88,3.88,3.12,2.25,3.62,3.88,3.25,2.62,2.88,3.5,2.38,2.25,2.88,3.25,0.25,1.12,2.75,NA,
49-9061.00,Camera and Photographic Equipment Repairers,3.38,3.25,2.38,2.62,3.38,3.25,3.38,2.25,2.88,3.75,2.75,2,3.75,3.88,2.12,1.25,0.5,0.75,0.75,0,0,1,0,0,3,NA,
27-4031.00,"Camera Operators, Television, Video, and Film",4,3.75,3.25,3.12,3.25,3.5,3.12,2,3.12,3.75,3.25,3,3.12,3,2.88,2.12,2.12,2.5,2,1.25,1.75,2.25,0,0.62,3,NA,
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",3.88,3.88,2.75,2.62,3.62,3.5,3.75,2.5,3.5,3.25,3.62,3.25,3.25,3.12,3.25,2.88,3.12,3.62,2,1,2.12,2.88,1,2.62,3.5,NA,
29-2031.00,Cardiovascular Technologists and Technicians,4,4,3,2.62,4.12,3.88,3.38,2.75,3.25,2.62,3.25,2.88,3.12,3.12,2.62,2,2.12,2.5,2,1.38,1.88,2.38,0.12,0,3.12,NA,
25-2023.00,"Career/Technical Education Teachers, Middle School",4.12,4.25,3.38,3.38,4,3.88,3,2.38,3,3,3.12,2.88,1.62,1.75,1.75,0.5,0.75,1.5,1.5,0.38,1.38,1,0,0,4.12,NA,
25-1194.00,"Career/Technical Education Teachers, Postsecondary",4.12,4.88,3,3,3.25,3.75,3.25,2.12,2.25,2.62,2.88,2.38,2.5,2.5,2,1.38,1.5,1.5,1.12,0.38,1.25,1.38,0,0.75,4,NA,
25-2032.00,"Career/Technical Education Teachers, Secondary School",4.12,4.12,3.38,3.62,4,4.12,3.62,3,2.75,2.88,3,3.12,2.88,2.75,1.75,0.5,0.75,1.75,1.62,1,1.5,1.25,0,0,4,NA,
43-5011.00,Cargo and Freight Agents,4,4,2.5,2.25,3,3,3,2.5,2.75,2,3,2.75,1.25,2.12,1.12,0.88,0.75,1,0.75,0,0.75,1.12,0,0.62,3,NA,
47-2031.00,Carpenters,3.62,3.62,2.88,3,3.62,3.5,3.25,2.75,3.12,4,3,2.75,3.62,3.5,3.5,2.88,2.25,3.12,2.62,1.5,2.62,3,0.88,1.5,2.88,NA,
47-2041.00,Carpet Installers,3.38,3.12,2.38,2.12,2.88,2.75,3,2.12,2.38,3.5,2.62,2.25,3.12,2.88,2.75,1.62,1.38,2.12,2.12,2.25,3,3.88,0.75,1,2.38,NA,
17-1021.00,Cartographers and Photogrammetrists,4.12,4,3,3,3.38,3.88,3.5,3,3,3.38,2.88,2.62,2.75,2.88,0.25,0.12,0,0.12,0.62,0,0,0.75,0,0,3,NA,
41-2011.00,Cashiers,3.88,3.25,2.12,2.12,2.75,2.75,2.88,2.25,2.12,1.5,2.75,2.62,2.12,2.25,2,1.12,1,1,1.88,0.38,1.88,2.25,0.25,0,3,1,
47-2051.00,Cement Masons and Concrete Finishers,3,2.88,2.12,2,2.75,2.62,2.88,1.88,2.88,3.25,2.75,2.38,3,2.88,3.25,2.25,2.38,3,2.25,2.75,2.88,3.5,1.25,0.88,2.12,NA,
35-1011.00,Chefs and Head Cooks,4,4.12,3.25,3.5,4.12,4.12,3.38,3,3.25,3.12,3.12,3.12,3,3,2.38,2,1.5,2.25,2.12,1.88,2.12,3,0.88,0.38,3.38,0,
17-2041.00,Chemical Engineers,5,4.38,3.88,4.12,4.62,4.88,4.62,4.25,3.62,3.75,3.38,2.38,1.12,1.88,0,0,1,1.25,1,0,0,0,0,0,3.12,NA,
51-9011.00,Chemical Equipment Operators and Tenders,4,3.88,2.5,2.25,3.88,3.12,3.5,2.12,3.88,3.12,3.5,2.75,3,3,3.5,2.88,3.12,3.38,1.88,1.75,1.88,2.75,0.25,0.88,2.88,NA,
51-8091.00,Chemical Plant and System Operators,3.75,3.88,2.12,2.12,3.75,3.75,3.62,2.62,3.62,2.88,3.75,2.88,3.12,3.12,2.88,2.12,2.75,3.5,2.25,1.25,1.88,2.75,0,1,3.12,NA,
19-4031.00,Chemical Technicians,4.12,4.12,3.12,3.12,4,4,3.88,3.12,3.25,3.12,3.12,2.5,3,3.25,3,1.75,2.12,2.12,2,1.5,1.75,1.88,0,0,3.12,NA,
